amplitude,frequency
12mA,45
12mA,60
12mA,100
12mA,500
12mA,1000
12mA,2500
12mA,5000
12mA,7500
12mA,10000
12mA,20000
12mA,30000
12.01mA,45
12.01mA,60
12.01mA,100
12.01mA,500
12.01mA,1000
12.01mA,2500
12.01mA,5000
12.01mA,7500
12.01mA,10000
12.01mA,20000
12.01mA,30000
70mA,45
70mA,60
70mA,100
70mA,500
70mA,1000
70mA,2500
70mA,5000
70mA,7500
70mA,10000
70mA,20000
70mA,30000
120mA,45
120mA,60
120mA,100
120mA,500
120mA,1000
120mA,2500
120mA,5000
120mA,7500
120mA,10000
120mA,20000
120mA,30000
120.01mA,45
120.01mA,60
120.01mA,100
120.01mA,500
120.01mA,1000
120.01mA,2500
120.01mA,5000
120.01mA,7500
120.01mA,10000
120.01mA,20000
120.01mA,30000
666mA,45
666mA,60
666mA,100
666mA,500
666mA,1000
666mA,2500
666mA,5000
666mA,7500
666mA,10000
666mA,20000
666mA,30000
1.2A,45
1.2A,60
1.2A,100
1.2A,500
1.2A,1000
1.2A,2500
1.2A,5000
1.2A,7500
1.2A,10000
1.2A,20000
1.2A,30000
1.201A,45
1.201A,60
1.201A,100
1.201A,500
1.201A,1000
1.201A,2500
1.201A,5000
1.201A,7500
1.201A,10000
2A,45
2A,60
2A,100
2A,500
2A,1000
2A,2500
2A,5000
2A,7500
2A,10000
3.1A,45
3.1A,60
3.1A,100
3.1A,500
3.1A,1000
3.1A,2500
3.1A,5000
3.1A,7500
3.1A,10000